Original ID,ARO Replacement
gi|1011730119|ref|WP_062573757.1|,nan
gi|959842010|ref|WP_058129832.1|,nan
gi|32345844|gb|AAM97216.1|,nan
gi|730235537|ref|WP_033940563.1|,nan
gi|959880686|ref|WP_058154928.1|,nan
gi|518315499|ref|WP_019485706.1|,nan
gi|501022077|ref|WP_012074742.1|,nan
AAP46635,nan
gi|730515606|ref|WP_034033846.1|,nan
gi|686194009|ref|WP_031805927.1|,nan
AAP46601,nan
gi|32345878|gb|AAM97233.1|,nan
gi|693041994|ref|WP_032213584.1|,nan
AAL77081,nan
gi|32345882|gb|AAM97235.1|,nan
AAA25465,nan
CAO91608,nan
gi|730239405|ref|WP_033943848.1|,nan
AAP46581,nan
gi|32345908|gb|AAM97248.1|,nan
gi|602747670|gb|EYU08172.1|,nan
gi|489254542|ref|WP_003162522.1|,nan
CAO91621,nan
gi|554679166|ref|WP_023180168.1|,nan
AAN61107,nan
AAB08925,nan
gi|553782114|ref|WP_023113693.1|,nan
CAO91626,nan
gi|749308249|ref|WP_040132379.1|,nan
gi|953524688|ref|WP_058010482.1|,nan
AAP46583,nan
gi|730234224|ref|WP_033939530.1|,nan
gi|730385713|ref|WP_034003307.1|,nan
NC_002516.2.880362.p01,nan
gi|959907095|ref|WP_058171579.1|,nan
gi|3646369|emb|CAA07694.1|,nan
gi|323161554|gb|EFZ47443.1|,nan
gi|959901593|ref|WP_058168023.1|,nan
gi|489549056|ref|WP_003453693.1|,nan
gi|501654546|ref|WP_012613742.1|,nan
gi|828386578|gb|AKK51649.1|,nan
AAP46608,nan
AAP46632,nan
gi|959848339|ref|WP_058133601.1|,nan
gi|959914645|ref|WP_058177542.1|,nan
gi|553755386|ref|WP_023088115.1|,nan
gi|489183136|ref|WP_003092577.1|,nan
CAO91615,nan
BAD00902,nan
gi|730665014|ref|WP_034066709.1|,nan
ZP_02722595,nan
gi|919846213|ref|WP_052897248.1|,nan
ZP_01788419,nan
gi|730437356|ref|WP_034014953.1|,nan
gi|917561233|ref|WP_052156623.1|,nan
CAO91617,nan
gi|345394503|gb|EGX24263.1|,nan
gi|743509803|ref|WP_039027538.1|,nan
EDJ91555,nan
gi|489221431|ref|WP_003129875.1|,nan
gi|553789261|ref|WP_023120513.1|,nan
gi|730653274|ref|WP_034064582.1|,nan
gi|730522696|ref|WP_034035891.1|,nan
CAO91614,nan
gi|544850065|ref|WP_021265147.1|,nan
gi|583220510|ref|WP_024156474.1|,nan
gi|135616|sp|P28815.1|TETC_ECOLX,ARO:3000167
AAP46614,nan
gi|32345876|gb|AAM97232.1|,nan
NP_357898,nan
gi|552691766|gb|ERZ05289.1|,nan
EDK78328,nan
gi|504416866|ref|WP_014603968.1|,nan
gi|489246765|ref|WP_003154928.1|,nan
AAP46594,nan
gi|640474933|ref|WP_024915411.1|,nan
YP_208590,nan
gi|32345896|gb|AAM97242.1|,nan
gi|730382847|ref|WP_034002332.1|,nan
ZP_00156276,nan
gi|254966945|gb|ACT97500.1|,nan
YP_001290033,nan
YP_002737588,nan
AAP46617,nan
ACF30471,nan
gi|959854208|ref|WP_058137685.1|,nan
NC_002516.2.880183.p01,nan
gi|32345872|gb|AAM97230.1|,nan
AAP46585,nan
gi|32345900|gb|AAM97244.1|,nan
gi|921164489|ref|WP_053110392.1|,nan
gi|730682684|ref|WP_034069871.1|,nan
CAO91607,nan
gi|959839646|ref|WP_058128275.1|,nan
gi|959863859|ref|WP_058143230.1|,nan
gi|553798151|ref|WP_023128666.1|,nan
gi|489200414|ref|WP_003109635.1|,nan
gi|960295466|ref|WP_058214460.1|,nan
gi|32345886|gb|AAM97237.1|,nan
gi|685892557|ref|WP_031633792.1|,nan
YP_001693856,nan
AAP46605,nan
AAC95456,nan
AAF17268,nan
gi|751314291|ref|WP_041021175.1|,nan
gi|730474171|ref|WP_034023520.1|,nan
gi|685904080|ref|WP_031644138.1|,nan
gi|32345874|gb|AAM97231.1|,nan
gi|759433858|ref|WP_043156446.1|,nan
ABJ55333,nan
gi|730397869|ref|WP_034006484.1|,nan
AAP46622,nan
gi|685980171|ref|WP_031687995.1|,nan
gi|730242297|ref|WP_033946265.1|,nan
P14677,nan
EDK70037,nan
gi|896408119|ref|WP_049345021.1|,nan
NC_010558.1.6275977.p01,nan
AF326777.3.gene22.p01,nan
AAP46606,nan
gi|490474978|ref|WP_004345400.1|,nan
gi|32345894|gb|AAM97241.1|,nan
P0A0U8,nan
gi|927320959|ref|WP_053813481.1|,nan
AAM97249,nan
gi|959846504|ref|WP_058132686.1|,nan
gi|970550885|ref|WP_058814714.1|,nan
