Original ID,ARO Replacement
argannot~~~(Bla)PBP1a~~~JN645776:1-2160,ARO:3003938 
argannot~~~(Ntmdz)nimj_Nitroimidazole_Gene~~~KJ816753.1:19295-19792,ARO:3007112
argannot~~~(Phe)cpt_strepv~~~U09991:1412-1948,ARO:3000249
argannot~~~(Bla)Penicillin_Binding_Protein_Ecoli~~~CP002291:664439-666340,ARO:3003938 
argannot~~~(AGly)aac3-I~~~AJ877225:5293-5757,ARO:3007384
argannot~~~(Bla)penA~~~AB511945:1298-3049,ARO:3003938 
argannot~~~(Phe)catB6~~~AJ223604:3727-4341,ARO:3002678
argannot~~~(Tet)tetR~~~HF545434:53576-54226,ARO:3003479
argannot~~~(Tet)tetR(G)~~~S52438:113-745,ARO:3004653
argannot~~~(Bla)PBP1b~~~AF101781:1-2466,ARO:3003938 
